Good,Bad,Needswork
7,1,8
2,2,5
3,3,8
4,4,4
5,5,5
6,6,8
7,3,6
8,1,3
9,3,9
10,4,6
11,2,4
6,3,3
8,2,2
5,6,7
2,1,8
8,4,9
7,5,5
6,3,9
8,6,5
8,10,9
10,2,6
7,6,6
6,4,8
8,9,4
7,4,6
6,4,5
9,9,8
5,8,9
8,4,6
6,7,8
9,5,5
7,3,9
6,8,7
5,2,6
8,8,8
6,2,3
9,4,5
6,1,7
7,5,5
5,6,7
9,3,6
